Learning Rate,MSE,Runtime
0.01,0.2503160738521072,2.822510004043579
0.02,0.23999181185367557,5.475933313369751
0.03,0.2120070317132164,8.164126634597778
0.04,0.16092211101075335,10.849769353866577
0.05,0.13803396033949,13.36191701889038
0.060000000000000005,0.00923858029145595,15.908969640731812
0.06999999999999999,0.006968091257713652,18.56297516822815
0.08,0.014493379575900196,20.993851900100708
0.09,0.00967972125659223,23.41471290588379
0.09999999999999999,0.17361226100507665,25.888811111450195
